source_path,source_product_identifier,sku,current_product_id,in_current_keep_set,image_reference_count,valid_image_count,image_complete,exclusion_reason
newel.com/product/Roger-Sprunger-for-Dunbar-American-Mid-Century-Bronze-and-Smoked-Glass-Coffee-Cocktail-Table.html,Roger Sprunger for Dunbar American Mid-Century Bronze and Smoked Glass Coffee / Cocktail Table,DUF0064,product-duf0064,yes,72,72,yes,
newel.com/product/russian-mahogany-foliate-arm-chair-c.html,Russian Mahogany Foliate Armchair,057316C,product-057316c,yes,60,1,yes,
newel.com/product/rustic-longhorn-and-kilim-upholstered-chair.html,American Rustic Horn and Kilim Upholstered Chair / Bench,064314,product-064314,yes,72,0,yes,
newel.com/product/rustic-small-mirror-with-faux-twig-carving.html,Rustic small carved faux twig mirror,051220,product-051220,yes,24,0,yes,
newel.com/product/sarreid-mid-century-american-studded-square-brass-frame-mirror.html,Sarreid Ltd Mid-Century American Studded Square Brass Frame Mirror,DUA0025,product-dua0025,yes,40,0,yes,
newel.com/product/scotsman-carousel-style-painted-kilt-figure.html,Scotsman Carousel Style Painted Kilt Figure,054113,product-054113,yes,60,59,yes,
newel.com/product/seating-armchair-rustic-old-hickory-oak-052838.html,American Rustic Old Hickory arm chair,052838,product-052838,yes,36,17,yes,
newel.com/product/seating-armchair-wicker-european-painted-051559b.html,English Lloyd Loom style painted wicker small roundback arm chair,051559B,product-051559b,yes,66,1,yes,
newel.com/product/seating-loveseat-settee-sofa-italian-grotto-silver-gilt-028214.html,Italian Venetian Grotto (19th Cent) silver gilt and polychromed trimmed loveseat,028214,product-028214,yes,65,3,yes,
newel.com/product/set-drop-back-bentwood-chairs-10.html,Bentwood Hairpin Scroll Café Walnut Side Chairs,064336,product-064336,yes,72,72,yes,
newel.com/product/set-of-10-milo-baughman-american-mid-century-polished-steel-and-purple-upholstered-side-chairs.html,Set of 10 Milo Baughman American Mid-Century Polished Steel and Purple Upholstered Side Chairs,REG5022,product-reg5022,yes,83,80,yes,
newel.com/product/set-of-16-english-adams-open-back-side-chairs-with-upholstered-cushion-.html,Set of 16 English Adam Style Open Back Side Chairs with Upholstered Cushion,063966,product-063966,yes,72,0,yes,
newel.com/product/set-of-18-American-mid-century-red-vinyl-tufted-side-chairs-.html,Set of 18 American Mid-Century Red Vinyl Tufted Side Chairs,NWL7232,product-nwl7232,yes,72,3,yes,
newel.com/product/set-of-3-american-country-windsor-black-armchairs-.html,Set of 3 English Windsor Style Black Armchairs,063969,product-063969,yes,72,1,yes,
newel.com/product/set-of-3-italian-renaissance-musical-figures-1.html,Set of 3 Italian Renaissance Musical Figures,032270,product-032270,yes,78,74,yes,
newel.com/product/set-of-3-warren-platner-for-knoll-international-mid-century-steel-and-red-upholstery-lounge-chairs.html,3 Warren Platner for Knoll International Mid-Century Steel and Red Upholstery Lounge Chairs,DUF0598A,product-duf0598a,yes,72,10,yes,
newel.com/product/Set-of-30-American-Modern-(c.1980's)-Pink-Metal-and-Vinyl-Indoor-Outdoor-Restaurant-Chairs.html,Set of 30 American Modern (c.1980&#039;s) Pink Metal and Vinyl Indoor / Outdoor Restaurant Chairs,NWL7631,product-nwl7631,yes,108,5,yes,
newel.com/product/set-of-30-italian-mid-century-red-vinyl-dining-side-chairs.html,30 Italian Mid-Century Red Vinyl Dining/ Side Chairs,NWL7230,product-nwl7230,yes,72,0,yes,
newel.com/product/set-of-4-american-mid-century-curled-armchairs-.html,Set of 4 French Directoire Curled Armchairs,063971,product-063971,yes,78,0,yes,
newel.com/product/set-of-4-american-rustic-old-hickory-and-willow-bar-stools.html,Set of 4 American Rustic Old Hickory and Willow Bar Stools,062853,product-062853,yes,132,132,yes,
newel.com/product/set-of-4-english-queen-anne-style-side-chairs-.html,Set of 4 English Queen Anne Style Side Chairs,NWL6103,product-nwl6103,yes,65,1,yes,
